material,label,trial,timestamp,reading
plastic,0,6,1743370110.833026,"[0.4199981689453125, 3.0900005340576158, -3.1944091796874545, 3.989990234375, 0.48000488281252274, 9.970434570312591, 2.52001953125, 1.9200012207031136, 1.5004150390625455, 3.0000061035156307, 2.1600006103515597, 0.9196289062499545, 4.020000457763672, 2.6100006103515625, 6.630834960937591]"
plastic,0,6,1743370110.938209,"[1.9199981689453125, 5.039999389648436, 5.0336181640625455, 4.1400146484375, 1.0799804687500227, -0.919580078124909, 4.77001953125, -0.47999267578126137, 3.9204589843750455, 0.9000000000000057, 11.16000061035156, 2.3716552734374545, 0.12000083923339844, -1.589996337890625, -0.14516601562490905]"
plastic,0,6,1743370111.0434508,"[0.4199981689453125, -2.009999847412111, 14.955615234375045, -1.1099853515625, 2.2799926757812727, 1.500341796875091, 2.219970703125, -0.03001098632813637, -0.19355468749995453, -2.9999938964843693, 0.5099990844726534, 1.6455810546874545, -1.8299999237060547, 5.7599945068359375, 0.33884277343759095]"
plastic,0,6,1743370111.1487172,"[-2.279998779296875, 0.5399993896484361, 4.5496093750000455, -3.21002197265625, 3.0299926757812727, 5.130346679687591, -0.780029296875, -0.18000488281251137, -4.5496337890624545, -1.6500030517578068, -1.8900024414062528, -1.9844238281250455, 1.0200004577636719, 5.6100006103515625, 10.260839843750091]"
plastic,0,6,1743370111.2530692,"[1.7700042724609375, 0.38999977111816264, 2.8556396484375455, -0.05999755859375, -0.42001953124997726, 6.340429687500091, 0.57000732421875, -2.4300048828125114, -2.3716552734374545, 6.103515630684342e-06, -1.1400024414062528, 3.3396728515624545, 1.0200004577636719, 1.2599945068359375, 3.726782226562591]"
plastic,0,6,1743370111.358407,"[-1.0800018310546875, -4.11000213623047, 0.6775390625000455, -3.3599853515625, -3.1199707031249773, 8.276342773437591, -2.58001708984375, -4.229992675781261, 4.6464111328125455, 2.849996948242193, 0.6600006103515597, 0.4356201171874545, -4.229999542236328, 2.6100006103515625, -2.807153320312409]"
plastic,0,6,1743370111.462534,"[-0.029998779296875, 1.289999389648436, 6.4856445312500455, -0.65997314453125, 2.2799926757812727, -0.677636718749909, -3.47998046875, 1.0200073242187386, 4.4043457031250455, 5.250006103515631, 3.6600006103515597, 0.19367675781245453, -0.9300003051757812, 7.1100006103515625, -8.615136718749909]"
plastic,0,6,1743370111.5678358,"[-1.9799957275390625, 3.3899997711181626, 12.051562500000045, 3.3900146484375, 1.6800170898437727, 1.500341796875091, 5.969970703125, 0.5699951171874886, 0.2904541015625455, -2.699990844726557, 3.210003662109372, -7.0663330078125455, -6.329999923706055, 0.3600006103515625, -0.14516601562490905]"
plastic,0,6,1743370111.673005,"[2.5200042724609375, -4.559999084472658, -5.3723876953124545, 2.78997802734375, -1.3199829101562273, -2.613671874999909, -1.22998046875, 1.3199951171874886, 1.2583496093750455, -2.9999938964843693, -1.8900024414062528, 4.5496337890624545, 0.12000083923339844, 5.6100006103515625, 6.872778320312591]"
plastic,0,7,1743370116.110215,"[-0.6300048828125, 0.17999916076660227, -0.48398437500009095, 7.259973144531273, -12.390002441406295, -8.373144531250091, -1.71002197265625, -1.6799987792968523, -7.840844726562409, 4.589996337890625, 0.5400009155273438, -4.6464111328125455, 2.9100004196167006, -4.739996337890631, -2.3231689453125455]"
plastic,0,7,1743370116.212074,"[8.970001220703125, -0.5700008392333977, 4.114038085937409, 2.7599731445312727, -2.0400268554687955, 1.548852539062409, 5.6400146484375, 3.1200195312500227, 4.501196289062591, 1.589996337890625, -0.9599990844726562, 1.8876464843749545, -1.7400001525878892, 0.9600006103515568, -1.1132080078125455]"
